Product_Name, Pricing, Ratings
Apple iPhone 6s (128GB) - Gold,25499,4.1
Apple iPhone 7 (32GB) - Black,29499,4.2
Apple iPhone XR (128GB) - Black,54900,4.5
Apple iPhone XR (64GB) - Black,49900,4.5
Apple iPhone 6s (128GB) - Rose Gold,26499,4.1
AmazonBasics Nylon Braided USB A to Lightning Compatible Cable - Apple MFi Certified - Dark Grey (3 Feet/0.9 Meter),799,4.1
Wayona Nylon Braided WN3LG1 USB Syncing and Charging Cable sync and Charging Cable for iPhone, Ipad, (3 FT Pack of 1, Grey),399,3.7
AmazonBasics Apple Certified Lightning to USB Charge and Sync Cable, 3 Feet (0.9 Meters) - White,599,4.1
Wayona Nylon Braided USB Data Sync & Charging Cable for iPhones, iPad Air, iPad Mini, iPod Nano and iPod Touch (3 FT Pack of 1, Grey),399,3.9
AmazonBasics Apple Certified Lightning to USB Charge and Sync Tough Cable, 3 Feet (0.9 Meters) - Black,549,4.2
AmazonBasics Nylon Braided USB A to Lightning Compatible Cable - Apple MFi Certified - Dark Grey (6 Feet/1.8 Meter),899,4.1
CXV CASESÂ® 5watt Charger with USB Cable Compatible for Apple iPhone 5/5s/6/6s/7/7 Plus/8/8 Plus/X/XR/XS/XS Max (White),691,3.4
boAt LTG 500-2Mtr Data Cable (Metallic Silver),799,4.0
AmazonBasics Nylon Braided USB A to Lightning Compatible Cable - Apple MFi Certified - Silver (3 Feet/0.9 Meter),799,4.1
POPIO Edge to Edge Tempered Glass Screen Protector for Apple iPhone XR/iPhone 11 (Black) With Installation Kit,251,3.8
Generic iPhone 5/5s Transparent Back Cover,49,3.6
